Title,Category
Cruel As the Grave: A Medieval Mystery,"Fiction , Mystery & Detective , General"
Night Moves : Dream Man/After the Night,"Fiction , Romance , Historical , General"
"Lighthouse Horrors: Tales of Adventure, Suspense and the Supernatural","Fiction , Horror"
Evensong,"Fiction , Historical"
The Spirit Caller,"Fiction , Mystery & Detective , Women Sleuths"
The Chisellers (Agnes Browne Series),"Fiction , Humorous , General"
Redeye,"Fiction , Westerns"
The Sirens of Ming Hai,"Fiction , Thrillers"
The Bear Went Over the Mountain: A Novel (Owl Book),"Fiction , Humorous , General"
Dark Mirror (Star Trek: The Next Generation),"Fiction , Science Fiction , General"
Night Blooming,"Fiction , Fantasy , Historical"
"A Century of Fantasy, 1980-1989","Fiction , Fantasy , General"
Ruby River: A Novel,"Fiction , Literary"
Jennifer Government,"Fiction , Satire"
Genetic Soldier,"Fiction , Science Fiction , General"
Murder on the Gravy Train,"Fiction , Mystery & Detective , General"
Having Everything,"Fiction , Literary"
The Secret Agent (movie tie-in),"Fiction , Literary"
Beggar's Choice: A Nick Polo Mystery,"Fiction , General"
Thurber on Crime,"Fiction , Mystery & Detective , General"
Harpy Thyme (Xanth),"Fiction , Science Fiction , General"
Tremor,"Fiction , Thrillers , Suspense"
Shadows on the Ivy: An Antique Print Mystery (Antique Print Mysteries (Paperback)),"Fiction , Mystery & Detective , Women Sleuths"
Cooking for Mr. Right,"Fiction , Romance , General"
Night Game (John Marquez Crime Novels),"Fiction , Mystery & Detective , Hard-Boiled"
The Haunt : A Novel,"Fiction , Literary"
C.A.T. Caper,"Fiction , Mystery & Detective , General"
Landscape Painted With Tea,"Fiction , Literary"
Eight Black Horses,"Fiction , Mystery & Detective , Police Procedural"
A Confidential Source,"Fiction , Thrillers , Suspense"
The Ballad of Rocky Ruiz,"Fiction , Mystery & Detective , General"
Moody Gets the Blues,"Fiction , Mystery & Detective , Hard-Boiled"
Frogskin and Muttonfat: A Mystery (Thea Barlow Mysteries),"Fiction , Mystery & Detective , Women Sleuths"
Bridges of Madison County: The Film,"Fiction , Romance , General"
The Drowning Tree: A Novel (Ballantine Reader's Circle),"Fiction , Literary"
A Defense for the Dead (Tom Doherty Associates Books),"Fiction , Legal"
The Substitute Victim,"Fiction , Mystery & Detective , General"
Lethal Dose,"Fiction , General"
The King of the Fields,"Fiction , Jewish"
Woman of Letters,"Fiction , General"
Planet of Whispers,"Fiction , Science Fiction , General"
"Tales of the Sea: Lord Jim, Typhoon, Children of the Sea, Amy Foster and Youth","Fiction , Classics"
A Casual Brutality,"Fiction , General"
A Girl Could Stand Up: A Novel,"Fiction , Literary"
Our Man in Washington,"Fiction , Historical"
Cyberweb,"Fiction , Science Fiction , General"
Bad Intent: A Maggie MacGowen Mystery,"Fiction , Mystery & Detective , General"
The Best of Rumpole,"Fiction , Mystery & Detective , General"
The Restraint of Beasts,"Fiction , Thrillers , Suspense"
Snow Man,"Fiction , Mystery & Detective , General"
The Man in My Basement: A Novel,"Fiction , General"
The Wild Irish,"Fiction , Short Stories (single author)"
Gideon's Fog,"Fiction , Mystery & Detective , General"
Hard Sell,"Fiction , Science Fiction , General"
The Chelsea Girl Murders: A Robin Hudson Mystery (Robin Hudson Mysteries),"Fiction , Short Stories (single author)"
Watermen of the Chesapeake Bay,"Fiction , Literary"
An Eye for an Eye,"Fiction , General"
The Illuminated Soul,"Fiction , Literary"
A Clear Conscience,"Fiction , Mystery & Detective , General"
Secret Harvest,"Fiction , Historical"
Belly Up to the Blue Line,"Fiction , Short Stories (single author)"
The Death of an Irish Sea Wolf: A Peter McGarr Mystery,"Fiction , Mystery & Detective , General"
Halloween Knight (The Cavendish Chronicles),"Fiction , Romance , Historical , General"
Render Up the Body,"Fiction , Mystery & Detective , Women Sleuths"
Fallen Dragon,"Fiction , Science Fiction , General"
Murder Among Neighbors,"Fiction , Mystery & Detective , General"
The Cutting Room,"Fiction , Crime"
Cold Mountain,"Fiction , Historical"
Crazy Time,"Fiction , Science Fiction , General"
Heavenly Date and Other Flirtations,"Fiction , Romance , General"
Shell Game (Kathleen Mallory Novels),"Fiction , Mystery & Detective , General"
Safe Conduct,"Fiction , General"
Jade,"Fiction , Literary"
Drop City,"Fiction , Literary"
The Gelwick Faxes: An Eyewitness Account of the Senate Hostage Crisis,"Fiction , Thrillers , Espionage"
Moonlight on the Avenue of Faith,"Fiction , Thrillers , Suspense"
Ultimate Voyage,"Fiction , General"
The Swallows of Kabul,"Fiction , Literary"
Crisscross,"Fiction , Mystery & Detective , Police Procedural"
Breaking Her Fall,"Fiction , Sagas"
Gotta Run,"Fiction , General"
The Lynne Truss Treasury: Columns and Three Comic Novels,"Fiction , Literary"
Murderers' Row,"Fiction , Mystery & Detective , Short Stories"
Transylvania Red,"Fiction , Horror"
The Light Ages,"Fiction , Fantasy , Historical"
Thirty-three Swoons: A Novel,"Fiction , Literary"
Mortal Allies,"Fiction , Thrillers , General"
Camouflage,"Fiction , Sagas"
The Crazed: A Novel,"Fiction , Literary"
The Ice Queen: A Novel,"Fiction , Literary"
Alfie,"Fiction , General"
Little Scarlet: An Easy Rawlins Mystery,"Fiction , Mystery & Detective , Police Procedural"
A Cry from the Dark: A Novel of Suspense,"Fiction , Thrillers , Suspense"
Four Spirits,"Fiction , General"
Bible Stories for Adults,"Fiction , Science Fiction , General"
"Wild Magic: Book Two Of Fool's Gold (Fools Gold, 2)","Fiction , Fantasy , General"
Love and Terror,"Fiction , General"
Waterland,"Fiction , Literary"
Good Faith,"Fiction , General"
Don't Look Back,"Fiction , Literary"
Forever: A Novel,"Fiction , Literary"
"The Big Killing (Bruce Medway Mysteries, No. 2)","Fiction , Mystery & Detective , General"
The Nonexistent Knight and The Cloven Viscount,"Fiction , General"
Faith Fox: A Novel,"Fiction , Literary"
Journey to the Centre of the Earth,"Fiction , Science Fiction , Action & Adventure"
The Magic of Blood,"Fiction , Short Stories (single author)"
Gotham Diaries,"Fiction , Literary"
The Year's Best Science Fiction: Twenty-First Annual Collection (No. 21),"Fiction , Science Fiction , General"
Unholy Fire: A Novel of the Civil War,"Fiction , Historical"
Restoration: A Novel of Seventeenth-Century England (Tie-In Edition),"Fiction , Fantasy , Epic"
How the Light Gets In,"Fiction , Literary"
The Persian Pickle Club,"Fiction , Historical"
Why Sleeping Dogs Lie,"Fiction , General"
Love Monkey: A Novel,"Fiction , General"
Swimming Sweet Arrow : A Novel,"Fiction , General"
"The Pearl Diver: A Novel (The Rei Shimura Series, 7)","Fiction , Mystery & Detective , General"
"Jerusalem's Hope (Zion Legacy, Book 6)","Fiction , Literary"
Virgin: Prelude to the Throne,"Fiction , Historical , General"
"The Pearl Diver (Massey, Sujata)","Fiction , Mystery & Detective , General"
After: A Novel,"Fiction , General"
The Song of Hannah: A Novel,"Fiction , Romance , Contemporary"
Ghost of the White Nights (Ghost Trilogy),"Fiction , Science Fiction , General"
The Stone Carvers,"Fiction , Sagas"
"Carpe Demon: Adventures of a Demon-Hunting Soccer Mom (Kate Connor, Demon Hunter)","Fiction , Humorous , General"
"Darknesses (Corean Chronicles, Book 2)","Fiction , Fantasy , Epic"
Carter Beats the Devil,"Fiction , Thrillers , Suspense"
Against Gravity,"Fiction , Psychological"
We Are All Fine Here,"Fiction , General"
The One That Got Away,"Fiction , Romance , Contemporary"
The Winter Queen: A Novel (An Erast Fandorin Mystery),"Fiction , Mystery & Detective , General"
Romantic Fiction,"Fiction , Romance , Contemporary"
Scatterbrain,"Fiction , Science Fiction , Hard Science Fiction"
Gotham Diaries,"Fiction , African American , General"
Amagansett,"Fiction , Thrillers , General"
A Country Affair (Barleybridge Novels),"Fiction , General"
The Breathtaker,"Fiction , Thrillers , Suspense"
Trace Evidence: A Novel,"Fiction , Thrillers , Suspense"
The Devil You Know: A Novel,"Fiction , Romance , Contemporary"
Officer Friendly and Other Stories,"Fiction , Literary"
L. Ron Hubbard Presents Writers of the Future Volume 21,"Fiction , Science Fiction , Collections & Anthologies"
The Divine Husband: A Novel,"Fiction , Literary"
You Are Not the One: Stories,"Fiction , Short Stories (single author)"
The Queen of the Big Time: A Novel,"Fiction , Sagas"
Murder at the B-School,"Fiction , Thrillers , Suspense"
Dark Specter: A novel,"Fiction , Mystery & Detective , General"
"Bewitched, Bothered and Bewildered","Fiction , Romance , General"
Shenandoah Summer,"Fiction , Romance , Contemporary"
The Price of Power: A Novel,"Fiction , Thrillers , General"
Sure of You,"Fiction , General"
Women on the Case,"Fiction , Mystery & Detective , Women Sleuths"
Little Odessa,"Fiction , Mystery & Detective , General"
Hangover Soup: A Novel,"Fiction , General"
Death in Lover's Lane: A Henrie O Mystery (Henrie O Mysteries),"Fiction , Mystery & Detective , Women Sleuths"
Villages: A novel,"Fiction , Literary"
Story of My Life,"Fiction , General"
Tripmaster Monkey: His Fake Book,"Fiction , General"
Instead Of You,"Fiction , General"
Murder most irregular: A novel,"Fiction , Mystery & Detective , General"
Oldest Living Confederate Widow Tells All,"Fiction , Literary"
Spirals,"Fiction , General"
Falling Bodies,"Fiction , General"
A Temporary Ghost (A Viking Novel of Mystery and Suspense),"Fiction , Mystery & Detective , General"
Mandarin,"Fiction , Romance , Historical , General"
The Novel,"Fiction , General"
Murder in Los Angeles,"Fiction , Mystery & Detective , General"
Murder at the Superbowl,"Fiction , General"
M. Pamplemousse on the Spot: A Gastronomic Mystry,"Fiction , General"
We Interrupt This Broadcast,"Fiction , Mystery & Detective , Women Sleuths"
The Gift of a Falcon,"Fiction , General"
Agent in Place,"Fiction , Thrillers , Espionage"
The great hotel robbery,"Fiction , Mystery & Detective , General"
Barrier Island,"Fiction , Mystery & Detective , General"
Talking God,"Fiction , General"
Bump,"Fiction , Literary"
By Bread Alone,"Fiction , General"
Hunters and Gatherers,"Fiction , General"
Namako: Sea Cucumber,"Fiction , Literary"
The Last Debate,"Fiction , Political"
Peace Like a River: A Novel,"Fiction , Sagas"
SCRIBNER'S BEST OF THE FICTION WORKSHOPS 1999,"Fiction , General"
Love [Enter],"Fiction , General"
Intrusions,"Fiction , General"
The Patient,"Fiction , Thrillers , General"
House of Sand and Fog (Oprah's Book Club) (Vintage Contemporaries),"Fiction , Literary"
Winter Games: A Mystery,"Fiction , Mystery & Detective , General"
Mrs. Pargeter's Pound of Flesh: A Mrs. Pargeter Mystery,"Fiction , Mystery & Detective , General"
The Cereal Murders: A Culinary Mystery,"Fiction , Mystery & Detective , General"
The Magistrate,"Fiction , General"
Some Great Thing,"Fiction , Literary"
Ace in the Hole,"Fiction , Westerns"
Fire And Maneuver (Able Team),"Fiction , Westerns"
The Unburied,"Fiction , Ghost"
Abracadaver: A Father Dowling Mystery,"Fiction , General"
Come to Grief,"Fiction , Mystery & Detective , General"
Disappearing Acts,"Fiction , Romance , Contemporary"
The Case of the Murdered MacKenzie,"Fiction , Mystery & Detective , General"
The Gladstone Bag: A Sarah Kelling Mystery,"Fiction , Mystery & Detective , General"
The Run Around,"Fiction , General"
The Bean Trees,"Fiction , Literary"
By Blood Possessed,"Fiction , Mystery & Detective , Women Sleuths"
Blue Corn Murders,"Fiction , Mystery & Detective , Women Sleuths"
Ritual Murder,"Fiction , General"
Circumstances Unknown: A Novel of Suspense,"Fiction , General"
KILLED IN FRINGE TIME: A Matt Cobb Mystery,"Fiction , General"
The Fur Person,"Fiction , Action & Adventure"
"Circle of Steel : Bolan Deals a Blow to the Illicit Arms Trade (Mack Bolan, The Executioner No 115)","Fiction , Action & Adventure"
MOTHERS PA,"Fiction , Anthologies (multiple authors)"
The Man Who Loved God,"Fiction , General"
Connecticut Yankee in New York (Mark Twain Mystery),"Fiction , General"
"Silverhand (The Arcana, Book 1)","Fiction , Fantasy , General"
Hunter's Moon,"Fiction , Mystery & Detective , General"
Jian,"Fiction , General"
Out of the Blackout,"Fiction , Mystery & Detective , General"
Nobody Cared for Kate,"Fiction , Mystery & Detective , General"
A Lover's Almanac,"Fiction , Literary"
