Title,Category
White Is for Magic (Stolarz Series),"Young Adult Fiction , Fantasy , General"
The Year Mom Won the Pennant (Matt Christopher Sports Classics),"Young Adult Fiction , Sports & Recreation , Baseball & Softball"
"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson (Confessions of Georgia Nicolson, Book 1)","Young Adult Fiction , Humorous , General"
Snow-walker,"Young Adult Fiction , Fantasy , General"
The Coffin Quilt: The Feud between the Hatfields and the McCoys,"Young Adult Fiction , Historical , United States , 19th Century"
White Lilacs,"Young Adult Fiction , People & Places , United States , African American"
The White Witch of Rosehall,"Young Adult Fiction , General"
Haunted Waters,"Young Adult Fiction , Short Stories"
School's Out - Forever: A Maximum Ride Novel (Book 2),"Young Adult Fiction , Action & Adventure , General"
"Knocked Out by My Nunga-Nungas: Further, Further Confessions of Georgia Nicolson (Confessions of Georgia Nicolson, Book 3)","Young Adult Fiction , Girls & Women"
"Silver on the Tree (The Dark is Rising, Bk 5)","Young Adult Fiction , General"
Happiness Is A Choice For Teens,"Young Adult Fiction , Social Themes , Emotions & Feelings"
"Gossip Girl: Because I'm Worth It (Gossip Girl, 4)","Young Adult Fiction , School & Education , Boarding School & Prep School"
Burning Up,"Young Adult Fiction , Social Themes , Prejudice & Racism"
Vegan Virgin Valentine,"Young Adult Fiction , School & Education , General"
The Book of Fours (Buffy the Vampire Slayer),"Young Adult Fiction , Horror"
Blonde Ambition: An A-List Novel (A-List #3),"Young Adult Fiction , Social Themes , Dating & Sex"
The Rise and Fall of a 10th Grade Social Climber,"Young Adult Fiction , Social Themes , General"
An Acquaintance with Darkness,"Young Adult Fiction , Health & Daily Living , General"
"Dragon's Blood: The Pit Dragon Chronicles, Volume One","Young Adult Fiction , Fantasy , General"
My Daniel,"Young Adult Fiction , General"
"Starry, Starry Night: Three Holiday Stories","Young Adult Fiction , Holidays & Celebrations"
"Adam of the Road (Newbery Library, Puffin)","Young Adult Fiction , Historical , Europe"
The Demon in the Teahouse,"Young Adult Fiction , Historical , Asia"
Outcast of Redwall,"Young Adult Fiction , Fantasy , General"
East o' the Sun and West o' the Moon,"Young Adult Fiction , Fairy Tales & Folklore , Country & Ethnic"
Invu Vol. 1,"Young Adult Fiction , Comics & Graphic Novels , General"
Fire Bringer,"Young Adult Fiction , General"
Chronicles of the Cursed Sword Volume 6,"Young Adult Fiction , Comics & Graphic Novels , Manga"
Fair Weather,"Young Adult Fiction , Historical , United States , 19th Century"
Elidor,"Young Adult Fiction , Fantasy , General"
The Midwife's Apprentice (Newbery Medal Book),"Young Adult Fiction , Historical , Medieval"
Pulling Princes (Calypso Chronicles),"Young Adult Fiction , General"
Over the Wall,"Young Adult Fiction , Lifestyles , City & Town Life"
The Time of the Forest,"Young Adult Fiction , General"
Great Moments in Architecture,"Young Adult Fiction , Art"
Garden of Angels,"Young Adult Fiction , Family , Parents"
The Coral Island (Puffin Classics),"Young Adult Fiction , Classics"
"The Interrex (Book of the Crow, Vol. 2)","Young Adult Fiction , Fantasy , General"
"The Spine of the World (Forgotten Realms: Paths of Darkness, Book 2)","Young Adult Fiction , Fantasy , General"
The Mystery of the Yellow Hands: The Baker Street Mysteries (#1) (The Baker Street Brigade),"Young Adult Fiction , Mysteries & Detective Stories"
Under a War-Torn Sky,"Young Adult Fiction , General"
The Lost Years of Merlin,"Young Adult Fiction , Fantasy , General"
Ground Training (Pine Hollow No. 10) (Pine Hollow(TM)) (Book 10),"Young Adult Fiction , Animals , Horses"
Servant of the Shard (Paths of Darkness),"Young Adult Fiction , Fantasy , General"
The Call of the Wild (Aladdin Classics),"Young Adult Fiction , Classics"
"All I Want Is Everything (Gossip Girl, 3)","Young Adult Fiction , School & Education , Boarding School & Prep School"
"Rebirth, Book 7","Young Adult Fiction , Comics & Graphic Novels , Manga"
Celtic Fairy Tales (Dover Children's Classics),"Young Adult Fiction , Fairy Tales & Folklore , Adaptations"
A Day No Pigs Would Die,"Young Adult Fiction , General"
Notorious: An It Girl Novel,"Young Adult Fiction , School & Education , General"
The Secret Country,"Young Adult Fiction , Fantasy , General"
"Power Play (The Hardy Boys Casefiles, No. 50)","Young Adult Fiction , Family , Siblings"
Valentine and Orson,"Young Adult Fiction , General"
The Other Side of Dark,"Young Adult Fiction , General"
Love and Other Four-Letter Words (Laurel-Leaf Books),"Young Adult Fiction , Social Themes , Dating & Sex"
Ghost Stories (Story Library),"Young Adult Fiction , Legends, Myths, Fables , General"
Gathering Blue (Readers Circle),"Young Adult Fiction , Science Fiction , General"
Some Like It Hot (A-List),"Young Adult Fiction , Girls & Women"
"M. C. Higgins, the Great","Young Adult Fiction , Family , General"
Doing It,"Young Adult Fiction , School & Education , General"
"Gossip Girl: You're the One That I Want: A Gossip Girl Novel (Gossip Girl, 6)","Young Adult Fiction , School & Education , Boarding School & Prep School"
