Title,Category
A Poet to His Beloved: The Early Love Poems of William Butler Yeats,"Poetry , European , English, Irish, Scottish, Welsh"
Love Poems by Women: An Anthology of Poetry from Around the World and Through the Ages,"Poetry , Subjects & Themes , Inspirational & Religious"
The Seagull Reader: Poems,"Poetry , Anthologies (multiple authors)"
Reasonable Affliction: 1001 Love Poems to Read to Each Other,"Poetry , Anthologies (multiple authors)"
No Anchovies on the Moon: Three Score and Ten Washington Pictures and Poems,"Poetry , General"
You Drive Me Crazy: Love Poems for Real Life,"Poetry , Anthologies (multiple authors)"
Rune Poem,"Poetry , General"
If I Were in Charge of the World and Other Worries: Poems for Children and their Parents,"Juvenile Nonfiction , Poetry , Humorous"
The Family Album of Favorite Poems,"Poetry , Anthologies (multiple authors)"
Treasured Poems that Touch the Heart: Cherished Poems and Favorite Poets,"Poetry , Anthologies (multiple authors)"
Selected Poems (Dover Thrift Editions: Poetry),"Poetry , Subjects & Themes , Places"
Renascence and Other Poems (Dover Thrift Editions),"Poetry , American , General"
Song of Myself (Dover Thrift Editions),"Poetry , Ancient & Classical"
Choice of Christina Rossettis Verse (Faber Paper Covered Editions),"Poetry , General"
Songs for the Open Road: Poems of Travel and Adventure (Dover Thrift Editions),"Poetry , Anthologies (multiple authors)"
Mottos to Live by: A Collection of Poems,"Poetry , American , General"
The Road Not Taken and Other Poems (Dover Thrift Editions),"Poetry , American , General"
A Boy's Will and North of Boston (Dover Thrift Editions),"Poetry , American , General"
A Shropshire Lad (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
101 Great American Poems (Dover Thrift Editions),"Poetry , Anthologies (multiple authors)"
"Poem a Day: Vol. 1: 366 Poems, Old and New - One for Each Day of the Year","Poetry , Anthologies (multiple authors)"
Songs of Milarepa (Dover Thrift Editions),"Poetry , Ancient & Classical"
Hailstones and Halibut Bones: Adventures in Poetry and Color,"Juvenile Nonfiction , Poetry , General"
Civil War Poetry and Prose (Dover Thrift Editions),"Poetry , American , General"
Words of Love: Poems & Quotations on the Meaning of Love,"Poetry , Anthologies (multiple authors)"
For You With Love: A Little Treasury of Gold,"Poetry , Inspirational & Religious"
"The Waste Land, Prufrock and Other Poems (Dover Thrift Editions)","Poetry , European , English, Irish, Scottish, Welsh"
Blake's Selected Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
Songs of Innocence and Songs of Experience (Dover Thrift Editions: Poetry),"Poetry , European , English, Irish, Scottish, Welsh"
Favorite Poems (Dover Thrift Editions: Poetry),"Poetry , American , General"
Early Poems (Dover Thrift Editions),"Poetry , American , General"
Committed to Memory,"Poetry , Anthologies (multiple authors)"
Poems That Touch the Heart: America's Most Popular Collection of Inspirational Verse,"Poetry , General"
The Classic Tradition of Haiku: An Anthology (Dover Thrift Editions),"Poetry , Asian , Japanese"
Bright Star Shining: Poems for Christmas,"Juvenile Nonfiction , Poetry , General"
Thoughts to Share With a Wonderful Father: A Collection of Poems (Language of Series),"Literary Criticism , Poetry"
The 12 Cats of Christmas (Mini Books) (Pocket Gold),"Poetry , Subjects & Themes , Inspirational & Religious"
Talking Like the Rain: A Read-to-Me Book of Poems,"Juvenile Nonfiction , Poetry , General"
Elizabethan Poetry: An Anthology (Dover Thrift Editions),"Poetry , Anthologies (multiple authors)"
A Pocket Treasury of Irish Verse,"Poetry , Anthologies (multiple authors)"
100 Best-Loved Poems (Dover Thrift Editions),"Poetry , Anthologies (multiple authors)"
Poetry Out Loud: The Year's Best,"Poetry , Anthologies (multiple authors)"
The Kingfisher Book of Children's Poetry,"Juvenile Nonfiction , Poetry , General"
"I Don't Want to Be Rich, Just Able: Poems","Poetry , American , General"
"To My Child: We May No Longer Live in the Same House, but You're Always in My Heart : A Collection of Poems from Blue Mountain Arts (Teens & Young Adults)","Poetry , General"
The Iliad,"Poetry , Ancient & Classical"
The Odyssey (Dover Thrift Editions: Literary Collections),"Poetry , Ancient & Classical"
The Best-Loved Poems of Jacqueline Kennedy Onassis,"Poetry , Anthologies (multiple authors)"
Alone,"Poetry , General"
Friends for Life: A Collection of Writings on the Importance of Lasting Friendship,"Poetry , American , General"
Complete Sonnets (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
Selected Poems,"Poetry , American , General"
The Complete Greek Tragedies: Sophocles I,"Poetry , Ancient & Classical"
Celebrate Through Heartsongs,"Poetry , Subjects & Themes , Inspirational & Religious"
Spoon River Anthology (Dover Thrift Editions),"Poetry , American , General"
The Sounds of Poetry: A Brief Guide,"Literary Criticism , Poetry"
Nonsense Poems,"Juvenile Nonfiction , Poetry , General"
The Language of Friendship: A Blue Mountain Arts Collection (Language of Series),"Literary Criticism , Poetry"
101 Famous Poems,"Poetry , Anthologies (multiple authors)"
Mother Goose,"Poetry , General"
Just for You: A Special Collection of Inspirational Verses,"Poetry , General"
The Poetry of Robert Frost,"Poetry , American , General"
Julius Caesar (Dover Thrift Editions),"Poetry , Subjects & Themes , Inspirational & Religious"
Lyric Poems (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
Romeo and Juliet (Dover Thrift Editions: Plays),"Poetry , Subjects & Themes , Love & Erotica"
King Lear (Dover Thrift Editions),"Poetry , European , English, Irish, Scottish, Welsh"
True Friends Always Remain in Each Others Hearts: A Blue Mountain Arts Collection,"Poetry , American , General"
The Inferno (Barnes & Noble Classics Series),"Poetry , Ancient & Classical"
A House Is a House for Me (Picture Puffin Books),"Poetry , American , General"
A Grain of a Mustard Seed: Poems,"Poetry , American , General"
Selected Poems,"Poetry , European , General"
Selected Tales and Poems,"Poetry , General"
Sonnets,"Poetry , European , English, Irish, Scottish, Welsh"
Amazing Peace: A Christmas Poem,"Poetry , American , General"
Emily Dickinson (The Great American Poets),"Poetry , General"
"Euripides I: Alcestis, The Medea, The Heracleidae, Hippolytus (The Complete Greek Tragedies)","Poetry , Ancient & Classical"
For a Special Teenager: A Collection of Poems,"Literary Criticism , Poetry"
Almost a Rainbow: A Book of Poems,"Poetry , General"
"Good Morning, Sweetie Pie and Other Poems for Little Children","Juvenile Nonfiction , Poetry , General"
Pocketful of Nonsense (Little Golden Book),"Juvenile Nonfiction , Poetry , Humorous"
Selected Poems,"Poetry , General"
Ain't I a Woman! A Book of Women's Poetry from Around the World,"Poetry , Anthologies (multiple authors)"
"Thoughts to Share With a Wonderful Daughter: A Blue Mountain Arts Collection (""Language of ... "" Series)","Poetry , Anthologies (multiple authors)"
Because I Love You,"Poetry , General"
The Dog in British Poetry,"Poetry , Anthologies (multiple authors)"
Take Each Day One Step at a Time: Poems to Inspire and Encourage the Journey to Recovery (Blue Mountain Arts Collection),"Poetry , Inspirational & Religious"
Listen to the Warm,"Poetry , General"
Edgar Allan Poe Unabr Ed Pb,"Poetry , American , General"
Strange Dreams: Collected Stories & Drawings,"Poetry , General"
Can You Come Here Where I Am? The Poetry and Prose of Seven Breast Cancer Survivors,"Poetry , American , General"
Late for Work,"Poetry , American , General"
Chapters into Verse: A Selection of Poetry in English Inspired by the Bible from Genesis through Revelation,"Poetry , Subjects & Themes , Inspirational & Religious"
To My Daughter With Love on the Important Things in Life (More Family Titles),"Poetry , American , General"
Sir Gawain and the Green Knight (Penguin Classics),"Poetry , European , English, Irish, Scottish, Welsh"
The Prophet    ISBN: 9780646266428,"Poetry , Subjects & Themes , Inspirational & Religious"
Collected Poems of Thomas Hardy ((Wordsworth Poetry Library)),"Poetry , English, Irish, Scottish, Welsh"
W.H. Auden: Selected Poems,"Poetry , European , English, Irish, Scottish, Welsh"
Gilgamesh: A Verse Narrative,"Poetry , Ancient & Classical"
The Sonnets: Poems of Love,"Poetry , European , English, Irish, Scottish, Welsh"
The Mentor Book of Major American Poets,"Poetry , Anthologies (multiple authors)"
A Family of Poems: My Favorite Poetry for Children,"Juvenile Nonfiction , Poetry , General"
"I Love You, Mom: A Blue Mountain Arts Collection About Life's Greatest Gift...Having a Mom Like You","Poetry , Anthologies (multiple authors)"
Think Positive Thoughts Every Day: Words to inspire a brighter outlook on life (Selp-Help),"Poetry , General"
The Heat: Steelworker Lives & Legends,"Poetry , General"
Happy Family: Poems,"Poetry , American , General"
BEST AMERICAN POETRY 1994,"Poetry , Anthologies (multiple authors)"
"A Bad Case Of The Giggles : Kids Pick the Funniest Poems, Book #2","Juvenile Nonfiction , Poetry , Humorous"
"Picnic, Lightning (Pitt Poetry Series)","Poetry , Anthologies (multiple authors)"
Ballistics: Poems,"Poetry , American , General"
"You Read to Me, I'll Read to You","Juvenile Nonfiction , Poetry , Humorous"
Locusts at the Edge of Summer: New and Selected Poems,"Poetry , American , General"
Once,"Poetry , American , General"
Beowulf: A New Prose Translation,"Poetry , European , English, Irish, Scottish, Welsh"
I Want Our Love to Last Forever: And I Know It Can If We Both Want It to,"Poetry , American , General"
The Penguin Book of First World War Poetry,"Poetry , General"
Poetry of the Civil War,"Poetry , Anthologies (multiple authors)"
The Canterbury Tales: In Modern English (Penguin Classics),"Poetry , General"
Sound and Sense: An Introduction to Poetry,"Poetry , General"
The Best American Poetry 2007 (The Best American Poetry),"Poetry , Anthologies (multiple authors)"
Best American Poetry 1990,"Poetry , Anthologies (multiple authors)"
